Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
08/10/2001;American Pie 2;45117985;145096820;286500000;30000000;Original
04/14/2000;American Psycho;4961015;15070285;28674417;8000000;Adapted
04/06/2012;American Reunion;NULL;NULL;NULL;50000000;Original
08/15/2003;American Splendor;159705;6003587;7978681;2000000;Comics
08/01/2003;American Wedding;33369440;104354205;126425115;55000000;Original
08/19/2011;Amigo;37324;183597;NULL;1500000;Real Events
12/12/1997;Amistad;4573523;44212592;NULL;40000000;Real Events
03/26/1999;Among Giants;13276;64359;NULL;4000000;Original
03/30/2001;Amores Perros;61047;5383834;20883834;2000000;Original
02/27/1998;An Alan Smithee Film: Burn Hollywood Burn;20000;45779;NULL;10000000;Original
10/03/2008;An American Carol;3656000;7013191;NULL;20000000;Original
05/05/2006;An American Haunting;5783508;16298046;27844063;14000000;Adapted
10/09/2009;An Education;159017;12574914;14134502;7500000;Adapted
06/18/1999;An Ideal Husband;192802;18542974;31341183;10700000;Adapted
09/09/2005;An Unfinished Life;1008308;8535575;18535575;30000000;Original
04/11/1997;Anaconda;16620887;65598907;136998907;45000000;Original
08/27/2004;Anacondas: The Hunt for the Blood Orchid;12812287;31526393;70326393;25000000;Original
12/06/2002;Analyze That;11034422;32122249;54994757;60000000;Original
03/05/1999;Analyze This;18383507;106885658;176885658;30000000;Original
11/14/1997;Anastasia;120541;58403409;139801410;53000000;Adapted
09/08/2000;Anatomie;5725;9598;NULL;2500000;Original
07/09/2004;Anchorman: The Legend of Ron Burgundy;28416365;84136909;89366354;25000000;Original
05/18/2001;Angel Eyes;9225575;24044532;29544532;38000000;Original
12/24/1999;Angela's Ashes;54628;13038660;NULL;25000000;Adapted
05/15/2009;Angels & Demons;46204168;133375846;490875846;150000000;Adapted
04/11/2003;Anger Management;42220847;135560942;195660942;56000000;Original
08/13/2010;Animal Kingdom;61968;1044039;6744039;4200000;Original
12/17/1999;Anna and the King;5223416;39251128;NULL;75000000;Adapted
05/17/1950;Annie Get Your Gun;NULL;8000000;NULL;3768785;Adapted
